freq,temp,util,power
1200000.00,69832.00,46.24,4.72
1200000.00,69832.00,46.54,4.69
1200000.00,69868.59,46.73,4.69
1200000.00,70064.12,47.08,4.69
1200000.00,70223.93,47.36,4.69
1200000.00,70337.18,47.62,4.82
1200000.00,70078.74,47.62,4.82
1200000.00,69922.22,47.62,4.82
1200000.00,69899.02,47.51,4.82
1200000.00,70287.24,46.89,4.82
1200000.00,70606.85,46.38,4.82
1200000.00,70903.30,45.93,4.82
1200000.00,70744.71,46.90,4.82
1200000.00,70541.30,48.15,4.64
1200000.00,70384.49,49.12,4.64
1200000.00,70442.97,48.38,4.64
1200000.00,70677.29,45.72,4.64
1200000.00,70891.46,43.29,4.77
1200000.00,70908.00,43.58,4.77
1200000.00,70908.00,45.11,4.77
1200000.00,70908.00,46.17,4.77
1200000.00,70908.00,46.88,4.81
1200000.00,70908.00,47.24,4.81
1200000.00,70908.00,47.51,4.81
1200000.00,70908.00,47.68,4.81
1200000.00,70908.00,48.03,4.72
1200000.00,70908.00,48.26,4.72
1200000.00,70908.00,48.39,4.72
1200000.00,70908.00,48.41,4.72
1200000.00,70908.00,48.43,4.69
1200000.00,70908.00,48.28,4.69
1200000.00,70908.00,47.38,4.69
1200000.00,70908.00,46.63,4.69
1200000.00,70939.44,46.10,4.83
1200000.00,71129.74,47.27,4.83
1200000.00,71332.59,48.53,4.83
1200000.00,71422.92,49.04,4.83
1200000.00,71231.92,47.48,4.81
1200000.00,71071.85,46.17,4.81
1200000.00,70908.94,44.84,4.81
1200000.00,70908.00,44.99,4.81
1200000.00,70908.00,45.56,4.65
1200000.00,70908.00,45.87,4.65
1200000.00,70908.00,46.13,4.65
1200000.00,70908.00,46.87,4.65
1200000.00,70908.00,47.56,4.77
1200000.00,70975.64,47.61,4.77
1200000.00,71194.67,47.58,4.77
1200000.00,71347.20,47.56,4.77
1200000.00,71529.92,47.42,4.82
1200000.00,71778.25,47.07,4.82
1200000.00,71945.46,46.83,4.82
1200000.00,71922.94,46.57,4.82
1200000.00,71701.44,45.84,4.73
1200000.00,71543.15,45.32,4.73
1200000.00,71416.67,45.10,4.73
1200000.00,71237.96,45.69,4.73
1200000.00,71040.03,46.34,4.68
1200000.00,70917.13,46.82,4.68
1200000.00,71084.18,47.59,4.68
1200000.00,71240.89,48.31,4.68
1200000.00,71446.00,49.20,4.82
1200000.00,71446.00,47.31,4.82
1200000.00,71446.00,44.96,4.82
1200000.00,71446.00,43.13,4.82
1200000.00,71446.00,44.28,4.82
1200000.00,71446.00,45.37,4.82
1200000.00,71446.00,46.45,4.82
1200000.00,71502.29,46.77,4.82
1200000.00,71758.18,46.77,4.71
1200000.00,71916.26,46.77,4.71
1200000.00,71984.00,46.74,4.71
1200000.00,71984.00,46.58,4.71
1200000.00,71984.00,46.41,4.71
1200000.00,71984.00,46.28,4.71
1200000.00,71984.00,46.16,4.71
1200000.00,71984.00,46.04,4.71
1200000.00,71972.19,46.42,4.82
1200000.00,71812.62,45.91,4.82
1200000.00,71675.23,45.22,4.82
1200000.00,71540.75,44.54,4.82
1200000.00,71513.26,44.30,4.80
1200000.00,71788.27,45.23,4.80
1200000.00,71984.00,45.91,4.80
1200000.00,71984.00,46.18,4.80
1200000.00,71984.00,46.52,4.65
1200000.00,71990.20,46.76,4.65
1200000.00,72307.28,46.19,4.65
1200000.00,72624.60,45.62,4.65
1200000.00,73044.72,44.86,4.80
1200000.00,72912.24,45.09,4.80
1200000.00,72454.42,45.92,4.80
1200000.00,72141.30,46.49,4.80
1200000.00,72052.60,46.55,4.82
1200000.00,72283.36,45.79,4.82
1200000.00,72444.59,45.26,4.82
1200000.00,72479.89,45.20,4.82
1200000.00,72221.89,46.46,4.74
1200000.00,72059.31,47.25,4.74
1200000.00,71942.51,47.62,4.74
1200000.00,71746.86,47.62,4.74
1200000.00,71541.93,47.62,4.70
1200000.00,71476.17,47.42,4.70
1200000.00,71664.73,46.18,4.70
1200000.00,71822.43,45.13,4.70
1200000.00,71984.00,44.25,4.82
1200000.00,71984.00,45.51,4.82
1200000.00,71984.00,46.53,4.82
1200000.00,71984.00,47.57,4.82
1200000.00,72084.14,47.77,4.82
1200000.00,72348.32,48.17,4.82
1200000.00,72510.36,48.42,4.82
1200000.00,72449.34,48.32,4.82
1200000.00,72163.19,47.84,4.66
1200000.00,72004.91,47.58,4.66
1200000.00,71984.00,47.33,4.66
1200000.00,71984.00,46.64,4.66
1200000.00,71984.00,45.99,4.78
1200000.00,72049.42,45.79,4.78
1200000.00,72271.65,45.42,4.78
1200000.00,72469.87,45.09,4.78
1200000.00,72460.15,45.39,4.84
1200000.00,72237.73,46.79,4.84
1200000.00,72079.00,47.79,4.84
1200000.00,72014.73,48.29,4.84
1200000.00,72248.27,47.59,4.76
1200000.00,72401.68,47.13,4.76
1200000.00,72522.00,46.75,4.76
1200000.00,72522.00,46.51,4.76
1200000.00,72522.00,46.21,4.67
1200000.00,72535.22,46.01,4.67
1200000.00,72705.58,45.68,4.67
1200000.00,72862.12,45.38,4.67
1200000.00,73053.26,45.03,4.83
1200000.00,72841.76,46.06,4.83
1200000.00,72688.28,46.81,4.83
1200000.00,72534.46,47.56,4.83
1200000.00,72601.07,47.37,4.82
1200000.00,72847.92,46.58,4.82
1200000.00,73017.22,46.04,4.82
1200000.00,73060.00,46.18,4.82
1200000.00,73060.00,47.41,4.70
1200000.00,73060.00,48.15,4.70
1200000.00,73060.00,48.23,4.70
1200000.00,73060.00,47.60,4.70
1200000.00,73060.00,46.97,4.74
1200000.00,73060.00,46.62,4.74
1200000.00,73060.00,45.93,4.74
1200000.00,73060.00,45.40,4.74
1200000.00,73060.00,45.30,4.83
1200000.00,73060.00,46.61,4.83
1200000.00,73060.00,47.62,4.83
1200000.00,73060.00,48.37,4.83
1200000.00,73060.00,47.31,4.79
1200000.00,73060.00,46.57,4.79
1200000.00,73060.00,45.94,4.79
1200000.00,73060.00,46.75,4.79
1200000.00,73060.00,47.75,4.66
1200000.00,73060.00,48.33,4.66
1200000.00,73060.00,47.54,4.66
1200000.00,73060.00,46.83,4.66
1200000.00,73060.00,45.89,4.82
1200000.00,73060.00,45.48,4.82
1200000.00,73060.00,45.20,4.82
1200000.00,73060.00,45.25,4.82
1200000.00,73060.00,46.27,4.82
1200000.00,73060.00,47.03,4.82
1200000.00,73060.00,47.47,4.82
1200000.00,73060.00,45.98,4.82
1200000.00,73060.00,44.65,4.71
1200000.00,73060.00,43.33,4.71
1200000.00,73060.00,43.45,4.71
1200000.00,73060.00,44.61,4.71
1200000.00,73060.00,45.54,4.73
1200000.00,73060.00,46.04,4.73
1200000.00,73060.00,46.68,4.73
1200000.00,73060.00,47.18,4.73
1200000.00,73060.00,47.49,4.82
1200000.00,73060.00,46.82,4.82
1200000.00,73060.00,46.29,4.82
1200000.00,73060.00,45.77,4.82
1200000.00,73060.00,46.17,4.81
1200000.00,73060.00,46.49,4.81
1200000.00,73060.00,46.74,4.81
1200000.00,73060.00,45.93,4.81
1200000.00,73060.00,44.88,4.65
1200000.00,73060.00,44.12,4.65
1200000.00,73060.00,44.09,4.65
1200000.00,73060.00,44.17,4.65
1200000.00,73060.00,44.25,4.81
1200000.00,73060.00,44.75,4.81
1200000.00,73060.00,46.49,4.81
1200000.00,73060.00,47.76,4.81
1200000.00,73060.00,48.28,4.83
1200000.00,73060.00,47.96,4.83
1200000.00,73060.00,47.75,4.83
1200000.00,73123.01,47.58,4.83
1200000.00,73561.32,47.32,4.81
1200000.00,73881.92,47.12,4.81
1200000.00,74119.31,46.99,4.81
1200000.00,73941.19,47.20,4.81
1200000.00,73728.19,47.46,4.66
1200000.00,73598.00,47.59,4.66
1200000.00,73598.00,47.29,4.66
1200000.00,73598.00,47.02,4.66
1200000.00,73598.00,46.86,4.81
1200000.00,73598.00,47.60,4.81
1200000.00,73598.00,48.15,4.81
1200000.00,73598.00,48.03,4.81
1200000.00,73598.00,46.13,4.81
1200000.00,73598.00,44.64,4.81
1200000.00,73598.00,43.18,4.81
1200000.00,73598.00,46.67,4.81
1200000.00,73598.00,57.65,5.09
1200000.00,73598.00,65.12,5.09
1200000.00,73637.15,68.81,5.09
1200000.00,73825.23,69.55,5.09
1200000.00,74018.15,70.31,5.49
1200000.00,74136.00,70.80,5.49
1200000.00,74136.00,71.14,5.49
1200000.00,74136.00,71.44,5.49
1200000.00,74136.00,71.86,5.59
1200000.00,74194.78,71.59,5.59
1200000.00,74374.18,70.70,5.59
1200000.00,74493.23,70.12,5.59
1200000.00,74649.37,69.35,5.79
1200000.00,74674.00,72.03,5.79
1200000.00,74674.00,81.82,5.79
1200000.00,74674.00,88.82,5.79
1200000.00,74674.00,98.13,6.43
1200000.00,74765.40,100.00,6.43
1200000.00,75102.67,100.00,6.43
1200000.00,75350.29,100.00,6.43
1200000.00,75685.77,100.00,6.46
1200000.00,75691.29,100.00,6.46
1200000.00,75519.00,100.00,6.46
1200000.00,75405.54,100.00,6.46
1200000.00,75280.71,100.00,6.47
1200000.00,75237.46,99.89,6.47
1200000.00,75394.03,99.22,6.47
1200000.00,75525.36,98.66,6.47
1200000.00,75688.38,97.96,6.10
1200000.00,75783.35,97.22,6.10
1200000.00,75940.90,94.97,6.10
1200000.00,76064.89,93.19,6.10
1200000.00,76233.34,90.78,6.44
1200000.00,76316.73,90.53,6.44
1200000.00,76446.38,92.94,6.44
1200000.00,76588.64,95.59,6.44
1200000.00,76691.00,97.49,6.49
1200000.00,76793.32,99.39,6.49
1200000.00,76826.00,100.00,6.49
1200000.00,76826.00,100.00,6.49
1200000.00,76826.00,100.00,6.49
1200000.00,76826.00,100.00,6.49
1200000.00,76850.42,100.00,6.49
1200000.00,76982.74,100.00,6.49
1200000.00,77126.15,100.00,6.50
1200000.00,77233.98,100.00,6.50
1200000.00,77339.48,100.00,6.50
1200000.00,77364.00,100.00,6.50
1200000.00,77364.00,100.00,6.50
1200000.00,77364.00,100.00,6.50
1200000.00,77364.00,100.00,6.50
1200000.00,77407.42,100.00,6.50
1200000.00,77572.88,100.00,6.50
1200000.00,77690.90,100.00,6.50
1200000.00,77807.64,100.00,6.50
1200000.00,77902.00,100.00,6.50
1200000.00,77902.00,100.00,6.52
1200000.00,77902.00,100.00,6.52
1200000.00,77902.00,100.00,6.52
1200000.00,77902.00,100.00,6.52
1200000.00,78068.80,99.82,6.52
1200000.00,78522.32,99.34,6.52
1200000.00,78807.98,99.04,6.52
1200000.00,78947.34,96.82,6.52
1200000.00,78713.88,81.29,6.01
1200000.00,78563.90,71.32,6.01
1200000.00,78440.00,62.76,6.01
1200000.00,78440.00,58.90,6.01
1200000.00,78440.00,54.37,4.82
1200000.00,78440.00,50.89,4.82
1200000.00,78373.85,49.60,4.82
1200000.00,78135.31,48.17,4.82
1200000.00,77904.24,46.79,4.89
1200000.00,77822.79,47.02,4.89
1200000.00,77585.10,47.75,4.89
1200000.00,77425.60,48.25,4.89
1200000.00,77364.00,48.20,4.87
1200000.00,77364.00,47.19,4.87
1200000.00,77364.00,46.77,4.87
1200000.00,77364.00,46.77,4.87
1200000.00,77364.00,46.77,4.77
1200000.00,77364.00,46.77,4.77
1200000.00,77364.00,48.79,4.77
1200000.00,77364.00,57.52,4.77
1200000.00,77364.00,64.20,5.38
1200000.00,77381.65,69.42,5.38
1200000.00,77553.57,70.09,5.38
1200000.00,77707.97,70.68,5.38
1200000.00,77902.00,71.42,5.67
1200000.00,77902.00,71.29,5.67
1200000.00,77902.00,71.16,5.67
1200000.00,77902.00,71.03,5.67
1200000.00,77902.00,70.37,5.67
1200000.00,77902.00,68.36,5.67
1200000.00,77902.00,66.92,5.67
1200000.00,77902.00,65.41,5.67
1200000.00,77902.00,60.56,4.98
1200000.00,77902.00,57.38,4.98
1200000.00,77902.00,54.21,4.98
1200000.00,77902.00,51.04,4.98
1200000.00,77829.28,51.34,4.98
1200000.00,77572.45,58.64,4.98
1200000.00,77386.08,63.93,4.98
1200000.00,77364.00,62.53,4.98
1200000.00,77364.00,54.34,4.68
1200000.00,77364.00,49.78,4.68
1200000.00,77364.00,48.28,4.68
1200000.00,77364.00,47.88,4.68
1200000.00,77364.00,47.62,4.73
1200000.00,77280.88,47.21,4.73
1200000.00,77035.45,46.02,4.73
1200000.00,76874.57,45.24,4.73
1200000.00,76889.03,45.40,4.78
1200000.00,77110.85,46.82,4.78
1200000.00,77270.02,47.84,4.78
1200000.00,77364.00,48.19,4.78
1200000.00,77364.00,46.31,4.65
1200000.00,77364.00,45.09,4.65
1200000.00,77336.48,44.18,4.65
1200000.00,76971.08,45.65,4.65
1200000.00,76414.47,47.88,4.42
1200000.00,76337.42,48.24,4.42
1200000.00,76544.31,47.62,4.42
1200000.00,76707.29,47.13,4.42
1200000.00,76826.00,46.74,4.74
1200000.00,76826.00,46.45,4.74
1200000.00,76826.00,46.19,4.74
1200000.00,76826.00,45.93,4.74
1200000.00,76917.83,46.33,4.77
1200000.00,77160.69,47.48,4.77
1200000.00,77320.22,48.23,4.77
1200000.00,77308.59,48.28,4.77
1200000.00,77058.68,47.55,4.57
1200000.00,76906.43,47.11,4.57
1200000.00,76762.45,47.05,4.57
1200000.00,76530.43,47.71,4.57
1200000.00,76357.77,48.19,4.45
1200000.00,76338.33,48.15,4.45
1200000.00,76552.83,47.16,4.45
1200000.00,76716.06,46.41,4.45
1200000.00,76776.79,46.13,4.57
1200000.00,76573.01,47.09,4.57
1200000.00,76417.71,47.83,4.57
1200000.00,76288.00,48.35,4.57
1200000.00,76288.00,46.90,4.52
1200000.00,76288.00,45.90,4.52
1200000.00,76288.00,45.04,4.52
1200000.00,76288.00,45.86,4.52
1200000.00,76288.00,46.90,4.46
1200000.00,76281.31,47.63,4.46
1200000.00,76101.70,47.88,4.46
1200000.00,75943.63,48.11,4.46
1200000.00,75754.72,48.37,4.74
1200000.00,75916.83,47.89,4.74
1200000.00,76076.80,47.41,4.74
1200000.00,76237.20,46.93,4.74
1200000.00,76209.72,47.02,4.75
1200000.00,75972.97,47.75,4.75
1200000.00,75818.08,48.23,4.75
1200000.00,75794.76,48.44,4.75
1200000.00,76049.79,48.44,4.64
1200000.00,76205.84,48.44,4.64
1200000.00,76248.10,48.31,4.64
1200000.00,76018.00,47.60,4.64
1200000.00,75834.02,47.03,4.64
1200000.00,75787.43,46.83,4.64
1200000.00,75983.86,47.11,4.64
1200000.00,76162.42,47.36,4.64
1200000.00,76288.00,47.40,4.76
1200000.00,76288.00,46.50,4.76
1200000.00,76288.00,45.74,4.76
1200000.00,76288.00,45.01,4.76
1200000.00,76288.00,45.37,4.74
1200000.00,76288.00,45.63,4.74
1200000.00,76288.00,45.90,4.74
1200000.00,76208.88,46.03,4.74
1200000.00,75915.35,46.51,4.55
1200000.00,75759.88,46.76,4.55
1200000.00,75842.33,46.47,4.55
1200000.00,76094.05,45.64,4.55
1200000.00,76277.12,45.04,4.72
1200000.00,76214.47,45.24,4.72
1200000.00,75984.66,46.00,4.72
1200000.00,75826.71,46.52,4.72
1200000.00,75680.54,46.88,4.75
1200000.00,75452.97,47.24,4.75
1200000.00,75295.21,47.49,4.75
1200000.00,75279.19,47.62,4.75
1200000.00,75742.52,47.62,4.66
1200000.00,76034.40,47.62,4.66
1200000.00,76276.32,47.62,4.66
1200000.00,76091.09,47.59,4.66
1200000.00,75742.79,47.51,4.61
1200000.00,75574.61,46.71,4.61
1200000.00,75414.08,45.95,4.61
1200000.00,75253.32,45.20,4.61
1200000.00,75272.24,45.38,4.74
1200000.00,75495.01,46.81,4.74
1200000.00,75657.21,47.84,4.74
1200000.00,75750.00,48.17,4.74
1200000.00,75750.00,46.65,4.72
1200000.00,75750.00,45.41,4.72
1200000.00,75750.00,44.16,4.72
1200000.00,75750.00,44.33,4.72
1200000.00,75750.00,45.35,4.57
1200000.00,75750.00,45.93,4.57
1200000.00,75750.00,46.21,4.57
1200000.00,75750.00,46.93,4.57
1200000.00,75750.00,47.45,4.55
1200000.00,75750.00,47.13,4.55
1200000.00,75750.00,45.70,4.55
1200000.00,75750.00,44.67,4.55
1200000.00,75689.45,44.37,4.54
1200000.00,75473.34,45.46,4.54
1200000.00,75316.60,46.25,4.54
1200000.00,75238.50,46.77,4.54
1200000.00,75471.63,46.77,4.47
1200000.00,75628.72,46.77,4.47
1200000.00,75731.76,46.68,4.47
1200000.00,75552.97,45.78,4.47
1200000.00,75334.83,44.69,4.36
1200000.00,75212.00,44.16,4.36
1200000.00,75212.00,45.36,4.36
1200000.00,75212.00,46.16,4.36
1200000.00,75212.00,46.74,4.53
1200000.00,75212.00,46.45,4.53
1200000.00,75212.00,46.19,4.53
1200000.00,75212.00,45.94,4.53
1200000.00,75303.72,46.19,4.52
1200000.00,75554.63,47.00,4.52
1200000.00,75712.90,47.50,4.52
1200000.00,75750.00,47.62,4.52
1200000.00,75750.00,47.62,4.38
1200000.00,75750.00,47.62,4.38
1200000.00,75693.60,47.42,4.38
1200000.00,75485.03,46.70,4.38
1200000.00,75258.53,45.92,4.68
1200000.00,75212.00,45.87,4.68
1200000.00,75212.00,46.27,4.68
1200000.00,75212.00,46.56,4.68
1200000.00,75212.00,46.70,4.75
1200000.00,75212.00,46.36,4.75
1200000.00,75212.00,46.09,4.75
1200000.00,75236.48,46.01,4.75
1200000.00,75473.16,47.11,4.68
1200000.00,75632.26,47.84,4.68
1200000.00,75750.00,48.17,4.68
1200000.00,75750.00,46.41,4.68
1200000.00,75750.00,44.30,4.57
1200000.00,75731.96,43.22,4.57
1200000.00,75554.27,44.40,4.57
1200000.00,75337.81,45.83,4.57
1200000.00,75229.88,46.64,4.75
1200000.00,75406.03,46.39,4.75
1200000.00,75564.86,46.16,4.75
1200000.00,75722.77,45.94,4.75
1200000.00,75750.00,45.97,4.74
1200000.00,75750.00,46.17,4.74
1200000.00,75750.00,46.30,4.74
1200000.00,75750.00,46.42,4.74
1200000.00,75750.00,46.60,4.59
1200000.00,75750.00,46.72,4.59
1200000.00,75391.33,46.75,4.59
1200000.00,75212.00,47.07,4.59
1200000.00,75212.00,47.41,4.68
1200000.00,75284.47,47.73,4.68
1200000.00,75521.05,48.09,4.68
1200000.00,75686.95,48.34,4.68
1200000.00,75696.62,48.35,4.77
1200000.00,75471.52,47.97,4.77
1200000.00,75297.95,47.68,4.77
1200000.00,75254.25,47.48,4.77
1200000.00,75461.87,47.18,4.67
1200000.00,75627.68,46.95,4.67
1200000.00,75721.69,46.68,4.67
1200000.00,75530.31,46.05,4.67
1200000.00,75328.16,45.38,4.54
1200000.00,75238.40,45.09,4.54
1200000.00,75411.68,45.66,4.54
1200000.00,75560.55,46.15,4.54
1200000.00,75750.00,46.78,4.70
1200000.00,75750.00,47.05,4.70
1200000.00,75750.00,47.31,4.70
1200000.00,75750.00,47.56,4.70
1200000.00,75668.49,47.74,4.53
1200000.00,75425.84,48.11,4.53
1200000.00,75264.24,48.36,4.53
1200000.00,75212.00,48.19,4.53
1200000.00,75212.00,47.01,4.40
1200000.00,75212.00,46.30,4.40
1200000.00,75212.00,46.07,4.40
1200000.00,75212.00,46.99,4.40
1200000.00,75212.00,48.03,4.44
1200000.00,75212.00,48.32,4.44
1200000.00,75212.00,47.33,4.44
1200000.00,75212.00,46.53,4.44
1200000.00,75212.00,45.96,4.55
1200000.00,75212.00,46.96,4.55
1200000.00,75212.00,47.73,4.55
1200000.00,75224.63,48.33,4.55
1200000.00,75420.50,47.42,4.54
1200000.00,75574.02,46.71,4.54
1200000.00,75727.24,46.01,4.54
1200000.00,75686.29,46.00,4.54
1200000.00,75427.56,46.42,4.54
1200000.00,75279.72,46.66,4.54
1200000.00,75212.00,46.70,4.54
1200000.00,75212.00,46.35,4.54
1200000.00,75212.00,45.95,4.66
1200000.00,75212.00,46.21,4.66
1200000.00,75212.00,46.99,4.66
1200000.00,75212.00,47.50,4.66
1200000.00,75212.00,47.31,4.73
1200000.00,75212.00,46.59,4.73
1200000.00,75212.00,46.10,4.73
1200000.00,75212.00,46.06,4.73
1200000.00,75212.00,46.77,4.66
1200000.00,75212.00,47.28,4.66
1200000.00,75212.00,47.57,4.66
1200000.00,75212.00,47.25,4.66
1200000.00,75212.00,46.87,4.55
1200000.00,75212.00,46.71,4.55
1200000.00,75212.00,47.03,4.55
1200000.00,75212.00,47.31,4.55
1200000.00,75212.00,47.56,4.73
1200000.00,75212.00,47.26,4.73
1200000.00,75212.00,47.01,4.73
1200000.00,75212.00,46.78,4.73
1200000.00,75212.00,46.92,4.72
1200000.00,75212.00,47.33,4.72
1200000.00,75212.00,47.60,4.72
1200000.00,75212.00,47.37,4.72
1200000.00,75212.00,46.42,4.57
1200000.00,75212.00,45.89,4.57
1200000.00,75212.00,45.68,4.57
1200000.00,75212.00,45.37,4.57
1200000.00,75212.00,45.06,4.66
1200000.00,75212.00,45.20,4.66
1200000.00,75212.00,45.91,4.66
1200000.00,75212.00,46.61,4.66
1200000.00,75268.57,46.85,4.74
1200000.00,75486.18,47.16,4.74
1200000.00,75647.34,47.39,4.74
1200000.00,75719.78,47.55,4.74
1200000.00,75484.18,47.58,4.66
1200000.00,75324.50,47.60,4.66
1200000.00,75212.00,47.52,4.66
1200000.00,75212.00,46.74,4.66
1200000.00,75212.00,45.84,4.56
1200000.00,75212.00,45.17,4.56
1200000.00,75212.00,45.43,4.56
1200000.00,75212.00,47.01,4.56
1200000.00,75212.00,48.44,4.80
1200000.00,75212.00,48.41,4.80
1200000.00,75212.00,48.38,4.80
1200000.00,75212.00,48.35,4.80
1200000.00,75212.00,48.32,4.79
1200000.00,75212.00,48.29,4.79
1200000.00,75212.00,48.26,4.79
1200000.00,75212.00,48.23,4.79
1200000.00,75212.00,48.20,4.65
1200000.00,75212.00,48.17,4.65
1200000.00,75212.00,48.14,4.65
1200000.00,75212.00,48.12,4.65
1200000.00,75212.00,48.08,4.72
1200000.00,75212.00,48.05,4.72
1200000.00,75212.00,48.03,4.72
1200000.00,75212.00,48.00,4.72
1200000.00,75212.00,47.94,4.79
1200000.00,75212.00,47.92,4.79
1200000.00,75212.00,47.89,4.79
1200000.00,75212.00,47.86,4.79
1200000.00,75212.00,47.83,4.73
1200000.00,75212.00,47.81,4.73
1200000.00,75212.00,47.78,4.73
1200000.00,75212.00,47.75,4.73
1200000.00,75212.00,47.73,4.60
1200000.00,75212.00,47.70,4.60
1200000.00,75212.00,47.67,4.60
1200000.00,75212.00,47.65,4.60
1200000.00,75212.00,47.61,4.62
1200000.00,75212.00,47.58,4.62
1200000.00,75212.00,47.55,4.62
1200000.00,75367.02,47.11,4.62
1200000.00,75481.00,47.18,4.73
1200000.00,75692.37,48.18,4.73
1200000.00,75386.99,47.77,4.73
1200000.00,75216.56,47.06,4.73
1200000.00,75389.45,46.93,4.57
1200000.00,75547.79,46.81,4.57
1200000.00,75706.60,46.70,4.57
1200000.00,75693.55,46.68,4.57
1200000.00,75429.54,46.73,4.40
1200000.00,75275.90,46.76,4.40
1200000.00,75259.08,46.63,4.40
1200000.00,75467.18,46.01,4.40
1200000.00,75680.50,45.37,4.45
1200000.00,75704.29,45.15,4.45
1200000.00,75409.68,45.06,4.45
1200000.00,75238.24,45.01,4.45
1200000.00,75212.00,45.32,4.55
1200000.00,75212.00,46.46,4.55
1200000.00,75212.00,47.25,4.55
1200000.00,75254.13,47.68,4.55
1200000.00,75459.08,47.99,4.51
1200000.00,75621.76,48.24,4.51
1200000.00,75750.00,48.36,4.51
1200000.00,75750.00,47.56,4.51
1200000.00,75750.00,46.62,4.35
1200000.00,75747.35,45.91,4.35
1200000.00,75585.39,46.66,4.35
1200000.00,75425.97,47.40,4.35
1200000.00,75218.31,48.36,4.52
1200000.00,75333.18,47.83,4.52
